dt_data_competencia,nm_adm_desl,cd_uf,nm_uf,cd_divisao,nm_grupo,nm_divisao,saldo_total
2023-08-01,Admitido,42,Santa Catarina,25,"Fabricação de artigos de cutelaria, de serralheria e ferramentas","Fabricação de produtos de metal, exceto máquinas e equipamentos",224.0
2023-08-01,Admitido,42,Santa Catarina,25,"Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais","Fabricação de produtos de metal, exceto máquinas e equipamentos",560.0
2023-08-01,Desligado,42,Santa Catarina,26,Fabricação de equipamentos de comunicação,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-61.0
2023-08-01,Desligado,42,Santa Catarina,26,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-9.0
2023-08-01,Desligado,42,Santa Catarina,26,Fabricação de componentes eletrônicos,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-51.0
2023-08-01,Desligado,42,Santa Catarina,26,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-20.0
2023-08-01,Admitido,42,Santa Catarina,26,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",15.0
2023-08-01,Desligado,42,Santa Catarina,26,"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-120.0
2023-08-01,Admitido,42,Santa Catarina,26,"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",168.0
2023-08-01,Admitido,42,Santa Catarina,26,Fabricação de componentes eletrônicos,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",33.0
2023-08-01,Admitido,42,Santa Catarina,26,Fabricação de equipamentos de informática e periféricos,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",21.0
2023-08-01,Desligado,42,Santa Catarina,26,Fabricação de equipamentos de informática e periféricos,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-15.0
2023-08-01,Admitido,42,Santa Catarina,26,Fabricação de equipamentos de comunicação,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",66.0
2023-08-01,Admitido,42,Santa Catarina,26,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",34.0
2023-08-01,Admitido,42,Santa Catarina,27,Fabricação de lâmpadas e outros equipamentos de iluminação,"Fabricação de máquinas, aparelhos e materiais elétricos",51.0
2023-08-01,Admitido,42,Santa Catarina,27,Fabricação de equipamentos para distribuição e controle de energia elétrica,"Fabricação de máquinas, aparelhos e materiais elétricos",182.0
2023-08-01,Admitido,42,Santa Catarina,27,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,"Fabricação de máquinas, aparelhos e materiais elétricos",50.0
2023-08-01,Desligado,42,Santa Catarina,27,Fabricação de lâmpadas e outros equipamentos de iluminação,"Fabricação de máquinas, aparelhos e materiais elétricos",-28.0
2023-08-01,Desligado,42,Santa Catarina,27,"Fabricação de geradores, transformadores e motores elétricos","Fabricação de máquinas, aparelhos e materiais elétricos",-241.0
2023-08-01,Desligado,42,Santa Catarina,27,"Fabricação de pilhas, baterias e acumuladores elétricos","Fabricação de máquinas, aparelhos e materiais elétricos",-52.0
2023-08-01,Desligado,42,Santa Catarina,27,Fabricação de equipamentos para distribuição e controle de energia elétrica,"Fabricação de máquinas, aparelhos e materiais elétricos",-203.0
2023-08-01,Admitido,42,Santa Catarina,27,"Fabricação de geradores, transformadores e motores elétricos","Fabricação de máquinas, aparelhos e materiais elétricos",393.0
2023-08-01,Admitido,42,Santa Catarina,27,"Fabricação de pilhas, baterias e acumuladores elétricos","Fabricação de máquinas, aparelhos e materiais elétricos",62.0
2023-08-01,Admitido,42,Santa Catarina,27,Fabricação de eletrodomésticos,"Fabricação de máquinas, aparelhos e materiais elétricos",246.0
2023-08-01,Desligado,42,Santa Catarina,27,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,"Fabricação de máquinas, aparelhos e materiais elétricos",-124.0
2023-08-01,Desligado,42,Santa Catarina,27,Fabricação de eletrodomésticos,"Fabricação de máquinas, aparelhos e materiais elétricos",-329.0
2023-08-01,Desligado,42,Santa Catarina,28,Fabricação de máquinas-ferramenta,Fabricação de máquinas e equipamentos,-64.0
2023-08-01,Desligado,42,Santa Catarina,28,"Fabricação de motores, bombas, compressores e equipamentos de transmissão",Fabricação de máquinas e equipamentos,-325.0
2023-08-01,Desligado,42,Santa Catarina,28,Fabricação de máquinas e equipamentos de uso geral,Fabricação de máquinas e equipamentos,-478.0
2023-08-01,Desligado,42,Santa Catarina,28,Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária,Fabricação de máquinas e equipamentos,-321.0
2023-08-01,Admitido,42,Santa Catarina,28,Fabricação de máquinas e equipamentos de uso na extração mineral e na construção,Fabricação de máquinas e equipamentos,22.0
2023-08-01,Desligado,42,Santa Catarina,28,Fabricação de máquinas e equipamentos de uso industrial específico,Fabricação de máquinas e equipamentos,-427.0
2023-08-01,Desligado,42,Santa Catarina,28,Fabricação de máquinas e equipamentos de uso na extração mineral e na construção,Fabricação de máquinas e equipamentos,-25.0
