"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"420020","AGROLÂNDIA","SC","05/2012","220","","27020","","122,82",""
"420020","AGROLÂNDIA","SC","10/2016","118","","21087","","178,70",""
"420020","AGROLÂNDIA","SC","09/2007","304","","18578","","61,11",""
"420020","AGROLÂNDIA","SC","05/2007","317","","16230","","51,20",""
"420020","AGROLÂNDIA","SC","11/2012","205","","26598","","129,75",""
"420020","AGROLÂNDIA","SC","11/2018","77","","12396","","160,99",""
"420020","AGROLÂNDIA","SC","12/2018","80","","13043","","163,04",""
"420020","AGROLÂNDIA","SC","08/2018","84","","12616","","150,19",""
"420020","AGROLÂNDIA","SC","06/2007","298","","15555","","52,20",""
"420020","AGROLÂNDIA","SC","01/2021","90","","16966","","188,51",""
"420020","AGROLÂNDIA","SC","11/2016","111","","20389","","183,68",""
"420020","AGROLÂNDIA","SC","02/2007","320","","16310","","50,97",""
"420020","AGROLÂNDIA","SC","07/2021","97","","9515","","98,09",""
"420020","AGROLÂNDIA","SC","03/2007","320","","16360","","51,13",""
"420020","AGROLÂNDIA","SC","01/2018","85","","13852","","162,96",""
"420020","AGROLÂNDIA","SC","06/2021","97","","9303","","95,91",""
"420020","AGROLÂNDIA","SC","04/2021","97","","8870","","91,44",""
