ano,territorio,nivel_territorial,codigo_municipio,etapa_ensino,indicador_codigo,indicador_nome,valor,unidade,fonte,observacao_metodologica
2022,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,85.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,77.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,8.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,5.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,13.90,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,17.90,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Ensino fundamental,taxa_abandono,Taxa de abandono,0.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Anos iniciais,taxa_abandono,Taxa de abandono,0.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Anos finais,taxa_abandono,Taxa de abandono,1.00,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Ensino médio,taxa_abandono,Taxa de abandono,4.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2023,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,92.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2023,Tijucas,Município,4218004,Anos iniciais,taxa_aprovacao,Taxa de aprovação,95.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2023,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,88.70,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2023,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,74.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2023,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,7.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2023,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,4.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2023,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,11.00,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2023,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,17.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
